"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"(Lat,Long)"
"Northwest Africa 7931 **"|"Official"|"2013"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"5.9 g"|" "
"Northwest Africa 7932 **"|"Official"|"2013"|"Morocco"|"CV3"|"160 g"|" "
"Northwest Africa 7934"|"Official"|"2013"|"(Northwest Africa)"|"LL5"|"22.7 g"|" "
"Northwest Africa 7935 **"|"Official"|"2013"|"(Northwest Africa)"|"LL5"|"48.2 g"|" "
"Northwest Africa 7936 **"|"Official"|"2012"|"(Northwest Africa)"|"L3"|"1300 g"|" "
"Northwest Africa 7937 **"|"Official"|"2013"|"(Northwest Africa)"|"Martian (shergottite)"|"152.9 g"|" "
"Northwest Africa 7938 **"|"Official"|"2013"|"(Northwest Africa)"|"H3"|"56 g"|" "
"Northwest Africa 7939 **"|"Official"|"2013"|"(Northwest Africa)"|"LL4-6"|"146.6 g"|" "
"Northwest Africa 7940 **"|"Official"|"2013"|"(Northwest Africa)"|"L3"|"184 g"|" "
"Northwest Africa 7941 **"|"Official"|"2013"|"(Northwest Africa)"|"L3"|"280 g"|" "
"Northwest Africa 7942 **"|"Official"|"2012"|"(Northwest Africa)"|"CV3"|"608 g"|" "
"Northwest Africa 7943 **"|"Official"|"2012"|"(Northwest Africa)"|"Eucrite-pmict"|"593 g"|" "
"Northwest Africa 7944 **"|"Official"|"2013"|"(Northwest Africa)"|"Martian (shergottite)"|"815 g"|" "
"Northwest Africa 7945 **"|"Official"|"2013"|"(Northwest Africa)"|"Lodranite"|"1800 g"|" "
"Northwest Africa 7946 **"|"Official"|"2013"|"(Northwest Africa)"|"CO3"|"771 g"|" "
"Northwest Africa 7947 **"|"Official"|"2013"|"(Northwest Africa)"|"Diogenite"|"392 g"|" "
"Northwest Africa 7948 **"|"Official"|"2013"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"59.8 g"|" "
"Northwest Africa 7949 **"|"Official"|"2013"|"(Northwest Africa)"|"CO3"|"136 g"|" "
"Northwest Africa 7950 **"|"Official"|"2013"|"(Northwest Africa)"|"Diogenite"|"590 g"|" "
"Northwest Africa 7951 **"|"Official"|"2013"|"(Northwest Africa)"|"H6"|"1369 g"|" "
"Northwest Africa 7952 **"|"Official"|"2013"|"(Northwest Africa)"|"Diogenite-pm"|"110 g"|" "
"Northwest Africa 7953 **"|"Official"|"2013"|"(Northwest Africa)"|"CK4"|"50.8 g"|" "
