"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Yamato 792775"|"Official"|"1979"|"Antarctica"|"LL4"|"58.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792776"|"Official"|"1979"|"Antarctica"|"LL4"|"40.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792777"|"Official"|"1979"|"Antarctica"|"LL4"|"30.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792778"|"Official"|"1979"|"Antarctica"|"LL4"|"29.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792779"|"Official"|"1979"|"Antarctica"|"LL4"|"34.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792780"|"Official"|"1979"|"Antarctica"|"LL4"|"43.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792781"|"Official"|"1979"|"Antarctica"|"LL4"|"15.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792782"|"Official"|"1979"|"Antarctica"|"LL4"|"24.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792783"|"Official"|"1979"|"Antarctica"|"LL4"|"20.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792784"|"Official"|"1979"|"Antarctica"|"LL4"|"15.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792785"|"Official"|"1979"|"Antarctica"|"LL4"|"11.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792786"|"Official"|"1979"|"Antarctica"|"LL4"|"9.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792787"|"Official"|"1979"|"Antarctica"|"LL4"|"9.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792788"|"Official"|"1979"|"Antarctica"|"LL4"|"7.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792789"|"Official"|"1979"|"Antarctica"|"LL4"|"8.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792790"|"Official"|"1979"|"Antarctica"|"LL4"|"5.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
