"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Allan Hills A78044 **"|"Official"|" "|"1978"|"Antarctica"|"L4"|"164.1 g"|"4(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78045 **"|"Official"|" "|"1978"|"Antarctica"|"L6"|"397 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78046"|"Official"|" "|"1978"|"Antarctica"|"L3"|"70 g"|"7(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78047"|"Official"|" "|"1978"|"Antarctica"|"H5"|"130.3 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78048 **"|"Official"|" "|"1978"|"Antarctica"|"L6"|"190.6 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78049"|"Official"|" "|"1978"|"Antarctica"|"H5"|"95.8 g"|"8(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78050 **"|"Official"|" "|"1978"|"Antarctica"|"L6"|"1045 g"|"3(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78051"|"Official"|" "|"1978"|"Antarctica"|"H4"|"119.5 g"|"7(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78052"|"Official"|" "|"1978"|"Antarctica"|"H5"|"97.3 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78053 **"|"Official"|" "|"1978"|"Antarctica"|"H4"|"179 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78054"|"Official"|" "|"1977 or 1978"|"Antarctica"|"LL5"|"9.3 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78055"|"Official"|" "|"1978"|"Antarctica"|"L6"|"13.7 g"|"8(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78056"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H"|"10.6 g"|" NIPR"|"(-76.716670, 159.666670)  "
